departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
LAX,MUC,condor.com,airport,false,*,*,false
PRN,DUS,condor.com,airport,false,*,*,false
MIA,TUN,condor.com,airport,false,*,*,false
PUJ,CAI,condor.com,airport,false,*,*,false
LEJ,HER,condor.com,airport,false,*,*,false
MRU,FRA,condor.com,airport,false,*,*,false
MUC,LIS,condor.com,airport,false,*,*,false
LAX,IST,condor.com,airport,false,*,*,false
MBA,BRU,condor.com,airport,false,*,*,false
PHX,AMM,condor.com,airport,false,*,*,false
MUC,PRN,condor.com,airport,false,*,*,false
MUC,ATH,condor.com,airport,false,*,*,false
MIA,DOH,condor.com,airport,false,*,*,false
PHX,FRA,condor.com,airport,false,*,*,false
PHX,IST,condor.com,airport,false,*,*,false
LEJ,BEY,condor.com,airport,false,*,*,false
NYC,BER,condor.com,airport,false,*,*,false
PUJ,FRA,condor.com,airport,false,*,*,false
LAX,DOH,condor.com,airport,false,*,*,false
NYC,ZRH,condor.com,airport,false,*,*,false
MUC,NKC,condor.com,airport,false,*,*,false
MBJ,JNB,condor.com,airport,false,*,*,false
FRA,MRV,condor.com,airport,false,*,*,false
HER,ZRH,condor.com,airport,false,*,*,false
HAM,FUE,condor.com,airport,false,*,*,false
FRA,NKC,condor.com,airport,false,*,*,false
HRG,GOT,condor.com,airport,false,*,*,false
FRA,YEA,condor.com,airport,false,*,*,false
IBZ,SKP,condor.com,airport,false,*,*,false
HAM,RUH,condor.com,airport,false,*,*,false
FRA,EBL,condor.com,airport,false,*,*,false
FRA,BHX,condor.com,airport,false,*,*,false
FRA,CHI,condor.com,airport,false,*,*,false
HAV,CAI,condor.com,airport,false,*,*,false
FRA,SUF,condor.com,airport,false,*,*,false
HAV,DOH,condor.com,airport,false,*,*,false
IBZ,RUH,condor.com,airport,false,*,*,false
HAV,IST,condor.com,airport,false,*,*,false
IBZ,ZRH,condor.com,airport,false,*,*,false
HAV,JNB,condor.com,airport,false,*,*,false
FRA,VIE,condor.com,airport,false,*,*,false
HAV,WAW,condor.com,airport,false,*,*,false
HER,MUC,condor.com,airport,false,*,*,false
DUS,ALC,condor.com,airport,false,*,*,false
BER,KBL,condor.com,airport,false,*,*,false
FMO,PMI,condor.com,airport,false,*,*,false
BGI,FRA,condor.com,airport,false,*,*,false
DXB,NYC,condor.com,airport,false,*,*,false
CGN,FUE,condor.com,airport,false,*,*,false
FAO,HAM,condor.com,airport,false,*,*,false
BER,EBB,condor.com,airport,false,*,*,false
AYT,LEJ,condor.com,airport,false,*,*,false
BER,CMB,condor.com,airport,false,*,*,false
DXB,HEL,condor.com,airport,false,*,*,false
CGN,MAD,condor.com,airport,false,*,*,false
BER,DAM,condor.com,airport,false,*,*,false
DUS,EDI,condor.com,airport,false,*,*,false
DUS,IBZ,condor.com,airport,false,*,*,false
DUS,FAO,condor.com,airport,false,*,*,false
BER,LEB,condor.com,airport,false,*,*,false
CGN,TCI,condor.com,airport,false,*,*,false
AGA,DOH,condor.com,airport,false,*,*,false
DUS,FUE,condor.com,airport,false,*,*,false
BEY,GOT,condor.com,airport,false,*,*,false
CHQ,FRA,condor.com,airport,false,*,*,false
CHQ,MUC,condor.com,airport,false,*,*,false
FRA,AYT,condor.com,airport,false,*,*,false
YVR,JED,condor.com,airport,false,*,*,false
YEA,BRU,condor.com,airport,false,*,*,false
YYC,MCT,condor.com,airport,false,*,*,false
SEA,SOF,condor.com,airport,false,*,*,false
STR,CFU,condor.com,airport,false,*,*,false
VIE,MRU,condor.com,airport,false,*,*,false
SEA,BGW,condor.com,airport,false,*,*,false
YHZ,LON,condor.com,airport,false,*,*,false
ZRH,FRA,condor.com,airport,false,*,*,false
YTO,ADD,condor.com,airport,false,*,*,false
YTO,SHJ,condor.com,airport,false,*,*,false
YTO,ALG,condor.com,airport,false,*,*,false
SAT,CAI,condor.com,airport,false,*,*,false
VRA,BKK,condor.com,airport,false,*,*,false
YVR,THR,condor.com,airport,false,*,*,false
SFO,BER,condor.com,airport,false,*,*,false
STR,PVK,condor.com,airport,false,*,*,false
YTO,ATH,condor.com,airport,false,*,*,false
YYC,RUH,condor.com,airport,false,*,*,false
YTO,AYT,condor.com,airport,false,*,*,false
YTO,MAD,condor.com,airport,false,*,*,false
SFO,DOH,condor.com,airport,false,*,*,false
SPU,YVR,condor.com,airport,false,*,*,false
SEA,BUH,condor.com,airport,false,*,*,false
YEA,CAI,condor.com,airport,false,*,*,false
SEA,COV,condor.com,airport,false,*,*,false
STR,DUB,condor.com,airport,false,*,*,false
SFO,PAR,condor.com,airport,false,*,*,false
YEA,IST,condor.com,airport,false,*,*,false
SMI,BGW,condor.com,airport,false,*,*,false
YVR,MCT,condor.com,airport,false,*,*,false
TCI,DXB,condor.com,airport,false,*,*,false
YEA,TUN,condor.com,airport,false,*,*,false
YTO,HAJ,condor.com,airport,false,*,*,false
YHZ,AMD,condor.com,airport,false,*,*,false
TCI,DUS,condor.com,airport,false,*,*,false
YHZ,BAH,condor.com,airport,false,*,*,false
YTO,IXD,condor.com,airport,false,*,*,false
YHZ,BEY,condor.com,airport,false,*,*,false
SPC,MUC,condor.com,airport,false,*,*,false
ZRH,AGP,condor.com,airport,false,*,*,false
YTO,KTM,condor.com,airport,false,*,*,false
ZRH,KGS,condor.com,airport,false,*,*,false
YTO,LHE,condor.com,airport,false,*,*,false
YTO,MED,condor.com,airport,false,*,*,false
NUE,EIN,condor.com,airport,false,*,*,false
MUC,PZU,condor.com,airport,false,*,*,false
LEJ,TNG,condor.com,airport,false,*,*,false
LEJ,DJE,condor.com,airport,false,*,*,false
MSP,AMS,condor.com,airport,false,*,*,false
LEJ,BGW,condor.com,airport,false,*,*,false
NUE,NKC,condor.com,airport,false,*,*,false
LCA,ZRH,condor.com,airport,false,*,*,false
MRU,MIL,condor.com,airport,false,*,*,false
NYC,DXB,condor.com,airport,false,*,*,false
MUC,RUH,condor.com,airport,false,*,*,false
LEJ,FAO,condor.com,airport,false,*,*,false
NUE,BFS,condor.com,airport,false,*,*,false
NYC,IST,condor.com,airport,false,*,*,false
LEJ,STO,condor.com,airport,false,*,*,false
NYC,JED,condor.com,airport,false,*,*,false
PVK,STO,condor.com,airport,false,*,*,false
MUC,IBZ,condor.com,airport,false,*,*,false
MLE,AMS,condor.com,airport,false,*,*,false
PAR,SFO,condor.com,airport,false,*,*,false
MRU,MVD,condor.com,airport,false,*,*,false
LEJ,GZT,condor.com,airport,false,*,*,false
MRU,PAR,condor.com,airport,false,*,*,false
PDX,IST,condor.com,airport,false,*,*,false
MSP,ADD,condor.com,airport,false,*,*,false
MUC,AGP,condor.com,airport,false,*,*,false
MBJ,BER,condor.com,airport,false,*,*,false
LEJ,CFU,condor.com,airport,false,*,*,false
LEJ,PZU,condor.com,airport,false,*,*,false
LPA,IST,condor.com,airport,false,*,*,false
LEJ,RUH,condor.com,airport,false,*,*,false
MRU,BFS,condor.com,airport,false,*,*,false
PUJ,DXB,condor.com,airport,false,*,*,false
MUC,LPL,condor.com,airport,false,*,*,false
PUJ,HRG,condor.com,airport,false,*,*,false
MIA,BEY,condor.com,airport,false,*,*,false
MBJ,STO,condor.com,airport,false,*,*,false
ROM,FRA,condor.com,airport,false,*,*,false
NYC,AMM,condor.com,airport,false,*,*,false
MIA,ULN,condor.com,airport,false,*,*,false
LEJ,LIS,condor.com,airport,false,*,*,false
SAT,ALG,condor.com,airport,false,*,*,false
HRG,WAW,condor.com,airport,false,*,*,false
FRA,STO,condor.com,airport,false,*,*,false
FRA,DTT,condor.com,airport,false,*,*,false
HAV,MIL,condor.com,airport,false,*,*,false
FRA,SVX,condor.com,airport,false,*,*,false
HAV,MOW,condor.com,airport,false,*,*,false
HAM,DXB,condor.com,airport,false,*,*,false
HAV,NBO,condor.com,airport,false,*,*,false
FRA,FEZ,condor.com,airport,false,*,*,false
HAV,OSL,condor.com,airport,false,*,*,false
FRA,LAS,condor.com,airport,false,*,*,false
HAV,SSH,condor.com,airport,false,*,*,false
HAM,CFU,condor.com,airport,false,*,*,false
FRA,CMN,condor.com,airport,false,*,*,false
HAV,CPT,condor.com,airport,false,*,*,false
FRA,ROM,condor.com,airport,false,*,*,false
HAM,SMI,condor.com,airport,false,*,*,false
HER,FRA,condor.com,airport,false,*,*,false
JNB,WAW,condor.com,airport,false,*,*,false
HAV,ALG,condor.com,airport,false,*,*,false
FRA,GRX,condor.com,airport,false,*,*,false
FRA,SAT,condor.com,airport,false,*,*,false
HRG,LEB,condor.com,airport,false,*,*,false
HAM,LIS,condor.com,airport,false,*,*,false
HAM,BUH,condor.com,airport,false,*,*,false
KVA,MUC,condor.com,airport,false,*,*,false
HRG,NUE,condor.com,airport,false,*,*,false
HAM,NKC,condor.com,airport,false,*,*,false
