departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
ATL,AUS,theflightsfare.co.uk,airport,false,*,*,false
BOS,FLL,theflightsfare.co.uk,airport,false,*,*,false
DEN,ATL,theflightsfare.co.uk,airport,false,*,*,false
STL,CLE,theflightsfare.co.uk,airport,false,*,*,false
MIA,EWR,theflightsfare.co.uk,airport,false,*,*,false
DCA,FLL,theflightsfare.co.uk,airport,false,*,*,false
DEN,FLL,theflightsfare.co.uk,airport,false,*,*,false
IND,TPA,theflightsfare.co.uk,airport,false,*,*,false
CLE,CLT,theflightsfare.co.uk,airport,false,*,*,false
DEN,MIA,theflightsfare.co.uk,airport,false,*,*,false
HOU,LAX,theflightsfare.co.uk,airport,false,*,*,false
DEN,ORD,theflightsfare.co.uk,airport,false,*,*,false
DEN,SAN,theflightsfare.co.uk,airport,false,*,*,false
DEN,LAX,theflightsfare.co.uk,airport,false,*,*,false
COS,SAN,theflightsfare.co.uk,airport,false,*,*,false
HOU,MSY,theflightsfare.co.uk,airport,false,*,*,false
IAD,SFO,theflightsfare.co.uk,airport,false,*,*,false
PHX,OGG,theflightsfare.co.uk,airport,false,*,*,false
PHX,SEA,theflightsfare.co.uk,airport,false,*,*,false
IAH,SNA,theflightsfare.co.uk,airport,false,*,*,false
SUN,ABQ,theflightsfare.co.uk,airport,false,*,*,false
CLT,SFB,theflightsfare.co.uk,airport,false,*,*,false
SFO,HNL,theflightsfare.co.uk,airport,false,*,*,false
SAN,LAS,theflightsfare.co.uk,airport,false,*,*,false
SFO,IAH,theflightsfare.co.uk,airport,false,*,*,false
HRL,GRR,theflightsfare.co.uk,airport,false,*,*,false
MEM,BWI,theflightsfare.co.uk,airport,false,*,*,false
BNA,PHL,theflightsfare.co.uk,airport,false,*,*,false
