departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
ALG,ADF,zd.wego.com,airport,false,*,*,true,*
ALG,VAN,zd.wego.com,airport,false,*,*,true,*
ALG,NAV,zd.wego.com,airport,false,*,*,true,*
ALG,BRU,zd.wego.com,airport,false,*,*,true,*
ALG,TZL,zd.wego.com,airport,false,*,*,true,*
ALG,CDG,zd.wego.com,airport,false,*,*,true,*
ALG,SKP,zd.wego.com,airport,false,*,*,true,*
ALG,CPH,zd.wego.com,airport,false,*,*,true,*
ALG,OGU,zd.wego.com,airport,false,*,*,true,*
ALG,HRG,zd.wego.com,airport,false,*,*,true,*
ALG,ADB,zd.wego.com,airport,false,*,*,true,*
ALG,ECN,zd.wego.com,airport,false,*,*,true,*
ALG,HAJ,zd.wego.com,airport,false,*,*,true,*
ALG,KSY,zd.wego.com,airport,false,*,*,true,*
ALG,VIE,zd.wego.com,airport,false,*,*,true,*
ALG,DIY,zd.wego.com,airport,false,*,*,true,*
ALG,HAM,zd.wego.com,airport,false,*,*,true,*
ALG,FRA,zd.wego.com,airport,false,*,*,true,*
ALG,BAH,zd.wego.com,airport,false,*,*,true,*
ALG,SSH,zd.wego.com,airport,false,*,*,true,*
ALG,JED,zd.wego.com,airport,false,*,*,true,*
ALG,CGN,zd.wego.com,airport,false,*,*,true,*
ALG,COV,zd.wego.com,airport,false,*,*,true,*
ALG,BAL,zd.wego.com,airport,false,*,*,true,*
ALG,BER,zd.wego.com,airport,false,*,*,true,*
ALG,ASR,zd.wego.com,airport,false,*,*,true,*
ALG,DUS,zd.wego.com,airport,false,*,*,true,*
ALG,DMM,zd.wego.com,airport,false,*,*,true,*
ALG,BEG,zd.wego.com,airport,false,*,*,true,*
ALG,RUH,zd.wego.com,airport,false,*,*,true,*
ALG,IGD,zd.wego.com,airport,false,*,*,true,*
ALG,LYS,zd.wego.com,airport,false,*,*,true,*
ALG,SAW,zd.wego.com,airport,false,*,*,true,*
ALG,KWI,zd.wego.com,airport,false,*,*,true,*
ALG,IKA,zd.wego.com,airport,false,*,*,true,*
ALG,BUD,zd.wego.com,airport,false,*,*,true,*
ALG,GNY,zd.wego.com,airport,false,*,*,true,*
ALG,SJJ,zd.wego.com,airport,false,*,*,true,*
ALG,ESB,zd.wego.com,airport,false,*,*,true,*
ALG,ERZ,zd.wego.com,airport,false,*,*,true,*
ALG,HTY,zd.wego.com,airport,false,*,*,true,*
ALG,EBL,zd.wego.com,airport,false,*,*,true,*
ALG,GZT,zd.wego.com,airport,false,*,*,true,*
ALG,AJI,zd.wego.com,airport,false,*,*,true,*
ALG,DLM,zd.wego.com,airport,false,*,*,true,*
OGU,ALG,zd.wego.com,airport,false,*,*,true,*
HRG,ALG,zd.wego.com,airport,false,*,*,true,*
CPH,ALG,zd.wego.com,airport,false,*,*,true,*
SKP,ALG,zd.wego.com,airport,false,*,*,true,*
HAM,ALG,zd.wego.com,airport,false,*,*,true,*
DIY,ALG,zd.wego.com,airport,false,*,*,true,*
FRA,ALG,zd.wego.com,airport,false,*,*,true,*
VIE,ALG,zd.wego.com,airport,false,*,*,true,*
ECN,ALG,zd.wego.com,airport,false,*,*,true,*
HAJ,ALG,zd.wego.com,airport,false,*,*,true,*
KSY,ALG,zd.wego.com,airport,false,*,*,true,*
BER,ALG,zd.wego.com,airport,false,*,*,true,*
BAL,ALG,zd.wego.com,airport,false,*,*,true,*
COV,ALG,zd.wego.com,airport,false,*,*,true,*
CGN,ALG,zd.wego.com,airport,false,*,*,true,*
SSH,ALG,zd.wego.com,airport,false,*,*,true,*
BAH,ALG,zd.wego.com,airport,false,*,*,true,*
JED,ALG,zd.wego.com,airport,false,*,*,true,*
LYS,ALG,zd.wego.com,airport,false,*,*,true,*
IGD,ALG,zd.wego.com,airport,false,*,*,true,*
BEG,ALG,zd.wego.com,airport,false,*,*,true,*
DMM,ALG,zd.wego.com,airport,false,*,*,true,*
RUH,ALG,zd.wego.com,airport,false,*,*,true,*
DUS,ALG,zd.wego.com,airport,false,*,*,true,*
ASR,ALG,zd.wego.com,airport,false,*,*,true,*
IKA,ALG,zd.wego.com,airport,false,*,*,true,*
KWI,ALG,zd.wego.com,airport,false,*,*,true,*
ESB,ALG,zd.wego.com,airport,false,*,*,true,*
GNY,ALG,zd.wego.com,airport,false,*,*,true,*
SJJ,ALG,zd.wego.com,airport,false,*,*,true,*
BUD,ALG,zd.wego.com,airport,false,*,*,true,*
EBL,ALG,zd.wego.com,airport,false,*,*,true,*
HTY,ALG,zd.wego.com,airport,false,*,*,true,*
ERZ,ALG,zd.wego.com,airport,false,*,*,true,*
SAW,ALG,zd.wego.com,airport,false,*,*,true,*
DLM,ALG,zd.wego.com,airport,false,*,*,true,*
GZT,ALG,zd.wego.com,airport,false,*,*,true,*
AJI,ALG,zd.wego.com,airport,false,*,*,true,*
EZS,ALG,zd.wego.com,airport,false,*,*,true,*
SZF,ALG,zd.wego.com,airport,false,*,*,true,*
ERC,ALG,zd.wego.com,airport,false,*,*,true,*
NKT,ALG,zd.wego.com,airport,false,*,*,true,*
BGY,ALG,zd.wego.com,airport,false,*,*,true,*
FCO,ALG,zd.wego.com,airport,false,*,*,true,*
BGW,ALG,zd.wego.com,airport,false,*,*,true,*
DXB,ALG,zd.wego.com,airport,false,*,*,true,*
MED,ALG,zd.wego.com,airport,false,*,*,true,*
CAI,ALG,zd.wego.com,airport,false,*,*,true,*
MQM,ALG,zd.wego.com,airport,false,*,*,true,*
AMS,ALG,zd.wego.com,airport,false,*,*,true,*
